accession	Pango_lineage	clade	genotype	CHIKVnext_lineage
MK370031	O	II-ECSA		Indian Ocean Lineage
MH647187	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647186	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647184	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647182	O	II-ECSA	ECSA	Indian Ocean Lineage
KT336780	O	II-ECSA		Indian Ocean Lineage
KT336779	O	II-ECSA		Indian Ocean Lineage
MH647216	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647213	O	II-ECSA	ECSA	Indian Ocean Lineage
KT336778	O	II-ECSA		Indian Ocean Lineage
JQ065890	O	II-ECSA		Indian Ocean Lineage
MW581867	O	II-ECSA		
MH636708	O	II-ECSA	ECSA	
KC614648	O	II-ECSA		Indian Ocean Lineage
FJ000067	O	II-ECSA		Indian Ocean Lineage
FJ513675	O	II-ECSA		Indian Ocean Lineage
GU199351	O	II-ECSA		Indian Ocean Lineage
FJ513673	O	II-ECSA		Indian Ocean Lineage
FJ513654	O	II-ECSA		Indian Ocean Lineage
FJ513645	O	II-ECSA		Indian Ocean Lineage
FJ445426	O	II-ECSA		Indian Ocean Lineage
FJ513632	O	II-ECSA		Indian Ocean Lineage
KY575570	O	II-ECSA	ECSA	Indian Ocean Lineage
EU372006	O	II-ECSA	ECS African	Indian Ocean Lineage
GQ428215	O	II-ECSA		Indian Ocean Lineage
FJ807898	O	II-ECSA		Indian Ocean Lineage
KJ796845	O	II-ECSA		
KJ796844	O	II-ECSA		
KJ796846	O	II-ECSA		
KT336777	O	II-ECSA		Indian Ocean Lineage
KU365371	O	II-ECSA		
KU365370	O	II-ECSA		
MH647192	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647218	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647217	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647191	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647190	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647206	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647205	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647204	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647201	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647203	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647202	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647200	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647199	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647198	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647196	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647195	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647194	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647189	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647209	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647188	O	II-ECSA	ECSA	Indian Ocean Lineage
FJ445427	O	II-ECSA		Indian Ocean Lineage
AB455494	O	II-ECSA		Indian Ocean Lineage
AB455493	O	II-ECSA		Indian Ocean Lineage
FJ000066	O	II-ECSA		Indian Ocean Lineage
FJ445428	O	II-ECSA		Indian Ocean Lineage
FJ513679	O	II-ECSA		Indian Ocean Lineage
FJ513657	O	II-ECSA		Indian Ocean Lineage
FJ513629	O	II-ECSA		Indian Ocean Lineage
FJ513628	O	II-ECSA		Indian Ocean Lineage
GU013530	O	II-ECSA		Indian Ocean Lineage
FJ513637	O	II-ECSA		Indian Ocean Lineage
FJ513635	O	II-ECSA		Indian Ocean Lineage
GU013529	O	II-ECSA		Indian Ocean Lineage
GU013528	O	II-ECSA		Indian Ocean Lineage
GU199350	O	II-ECSA		Indian Ocean Lineage
GU189061	O	II-ECSA		Indian Ocean Lineage
MK028838	O	II-ECSA		Indian Ocean Lineage
HM045801	O	II-ECSA		Indian Ocean Lineage
MK086029	O	II-ECSA		Indian Ocean Lineage
EU244823	O	II-ECSA		Indian Ocean Lineage
KP003811	O	II-ECSA	ECSA	Indian Ocean Lineage
KX262989	O	II-ECSA	East-Central-South-African	Indian Ocean Lineage
KP003810	O	II-ECSA	ECSA	Indian Ocean Lineage
KX262993	O	II-ECSA	East-Central-South-African	Indian Ocean Lineage
MK120202	O	II-ECSA		Indian Ocean Lineage
MK120201	O	II-ECSA		Indian Ocean Lineage
GQ428212	O	II-ECSA		Indian Ocean Lineage
FJ000069	O	II-ECSA		Indian Ocean Lineage
GQ428214	O	II-ECSA		Indian Ocean Lineage
KT336782	O	II-ECSA		Indian Ocean Lineage
KT336781	O	II-ECSA		Indian Ocean Lineage
GQ428213	O	II-ECSA		Indian Ocean Lineage
FN295487	O	II-ECSA		Indian Ocean Lineage
FN295485	O	II-ECSA		Indian Ocean Lineage
FJ807899	O	II-ECSA		Indian Ocean Lineage
KX009169	O	II-ECSA		Indian Ocean Lineage
LC259093	O	II-ECSA		Indian Ocean Lineage
GU199353	O	II-ECSA		Indian Ocean Lineage
GU199352	O	II-ECSA		Indian Ocean Lineage
KT324227	O	II-ECSA	East/Central/South African	Indian Ocean Lineage
MF773568	O	II-ECSA	ECSA	Indian Ocean Lineage
GU301780	O	II-ECSA		Indian Ocean Lineage
KJ796851	O	II-ECSA		
KJ796848	O	II-ECSA		
KJ796847	O	II-ECSA		
KP164869	O	II-ECSA		Indian Ocean Lineage
ON262791	O	II-ECSA	ECSA	
FJ445502	O	II-ECSA		Indian Ocean Lineage
FJ445484	O	II-ECSA		Indian Ocean Lineage
FJ445463	O	II-ECSA		Indian Ocean Lineage
FJ445445	O	II-ECSA		Indian Ocean Lineage
FJ445443	O	II-ECSA		Indian Ocean Lineage
FJ445433	O	II-ECSA		Indian Ocean Lineage
FJ445430	O	II-ECSA		Indian Ocean Lineage
GQ905863	O	II-ECSA		Indian Ocean Lineage
FR687345	O	II-ECSA		Indian Ocean Lineage
GU301781	O	II-ECSA		Indian Ocean Lineage
FR687344	O	II-ECSA		Indian Ocean Lineage
FR687342	O	II-ECSA		Indian Ocean Lineage
FJ445432	O	II-ECSA		Indian Ocean Lineage
FR687341	O	II-ECSA		Indian Ocean Lineage
KX009170	O	II-ECSA		Indian Ocean Lineage
KC862329	O	II-ECSA		Indian Ocean Lineage
MF773569	O	II-ECSA	ECSA	Indian Ocean Lineage
KX262997	O	II-ECSA	East-Central-South-African	Indian Ocean Lineage
MF773567	O	II-ECSA	ECSA	Indian Ocean Lineage
FJ445431	O	II-ECSA		Indian Ocean Lineage
KT324228	O	II-ECSA	East/Central/South African	Indian Ocean Lineage
FR687347	O	II-ECSA		Indian Ocean Lineage
KT324225	O	II-ECSA	East/Central/South African	Indian Ocean Lineage
KT324224	O	II-ECSA	East/Central/South African	Indian Ocean Lineage
MH647211	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647210	O	II-ECSA	ECSA	Indian Ocean Lineage
KJ796852	O	II-ECSA		
KJ796850	O	II-ECSA		
KJ796849	O	II-ECSA		
KX009167	O	II-ECSA		Indian Ocean Lineage
KX009171	O	II-ECSA		Indian Ocean Lineage
LC580270	O	II-ECSA		Indian Ocean Lineage
JQ861260	O	II-ECSA	ECSA	Indian Ocean Lineage
JQ861259	O	II-ECSA	ECSA	Indian Ocean Lineage
JQ861258	O	II-ECSA	ECSA	Indian Ocean Lineage
JQ861257	O	II-ECSA	ECSA	Indian Ocean Lineage
JQ861255	O	II-ECSA	ECSA	Indian Ocean Lineage
JQ861256	O	II-ECSA	ECSA	Indian Ocean Lineage
JQ861254	O	II-ECSA	ECSA	Indian Ocean Lineage
JQ861253	O	II-ECSA	ECSA	Indian Ocean Lineage
MF076575	O	II-ECSA		Indian Ocean Lineage
MF076574	O	II-ECSA		Indian Ocean Lineage
MF076573	O	II-ECSA		Indian Ocean Lineage
MF076572	O	II-ECSA		Indian Ocean Lineage
MF076577	O	II-ECSA		Indian Ocean Lineage
MF076576	O	II-ECSA		Indian Ocean Lineage
MF076571	O	II-ECSA		Indian Ocean Lineage
MF076570	O	II-ECSA		Indian Ocean Lineage
MF076569	O	II-ECSA		Indian Ocean Lineage
MF076568	O	II-ECSA		Indian Ocean Lineage
KJ579187	O	II-ECSA	ECSA	Indian Ocean Lineage
KJ579186	O	II-ECSA	ECSA	Indian Ocean Lineage
KJ579185	O	II-ECSA	ECSA	Indian Ocean Lineage
KJ579184	O	II-ECSA	ECSA	Indian Ocean Lineage
GU301779	O	II-ECSA		Indian Ocean Lineage
ON262792	O	II-ECSA	ECSA	
HQ846357	O	II-ECSA		Indian Ocean Lineage
JQ065888	O	II-ECSA		Indian Ocean Lineage
HQ846356	O	II-ECSA		Indian Ocean Lineage
JQ065889	O	II-ECSA		Indian Ocean Lineage
JQ065887	O	II-ECSA		Indian Ocean Lineage
JQ065885	O	II-ECSA		Indian Ocean Lineage
JX088705	O	II-ECSA		Indian Ocean Lineage
FR687340	O	II-ECSA		Indian Ocean Lineage
FR687343	O	II-ECSA		Indian Ocean Lineage
FR687346	O	II-ECSA		Indian Ocean Lineage
KX009168	O	II-ECSA		Indian Ocean Lineage
KT324226	O	II-ECSA	East/Central/South African	Indian Ocean Lineage
FR687348	O	II-ECSA		Indian Ocean Lineage
GU908223	O	II-ECSA		Indian Ocean Lineage
HQ846359	O	II-ECSA		Indian Ocean Lineage
HQ846358	O	II-ECSA		Indian Ocean Lineage
JQ065886	O	II-ECSA		Indian Ocean Lineage
KF590565	O	II-ECSA	ECSA	Indian Ocean Lineage
KF590566	O	II-ECSA	ECSA	Indian Ocean Lineage
KF590564	O	II-ECSA	ECSA	Indian Ocean Lineage
KF151175	O	II-ECSA		Indian Ocean Lineage
KF151174	O	II-ECSA		Indian Ocean Lineage
KF590567	O	II-ECSA	ECSA	Indian Ocean Lineage
JQ065892	O	II-ECSA		Indian Ocean Lineage
MH647215	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647214	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647212	O	II-ECSA	ECSA	Indian Ocean Lineage
JQ065891	O	II-ECSA		Indian Ocean Lineage
MH124578	O	II-ECSA		Indian Ocean Lineage
MH124577	O	II-ECSA		Indian Ocean Lineage
MH124579	O	II-ECSA		Indian Ocean Lineage
MH124574	O	II-ECSA		Indian Ocean Lineage
MH124572	O	II-ECSA		Indian Ocean Lineage
MH124571	O	II-ECSA		Indian Ocean Lineage
MH647181	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647180	O	II-ECSA	ECSA	Indian Ocean Lineage
MG664850	O	II-ECSA		Indian Ocean Lineage
MH124576	O	II-ECSA		Indian Ocean Lineage
MH124575	O	II-ECSA		Indian Ocean Lineage
MH124573	O	II-ECSA		Indian Ocean Lineage
MH124570	O	II-ECSA		Indian Ocean Lineage
MW581884	O	II-ECSA		
MW581883	O	II-ECSA		
MW581879	O	II-ECSA		
MW581869	O	II-ECSA		
MW581872	O	II-ECSA		
MW581874	O	II-ECSA		
KJ679578	O	II-ECSA	ECSA	Indian Ocean Lineage
MW581873	O	II-ECSA		
MW581864	O	II-ECSA		
MW581881	O	II-ECSA		
MW581866	O	II-ECSA		
MW581865	O	II-ECSA		
MW581863	O	II-ECSA		
MW581882	O	II-ECSA		
MW581878	O	II-ECSA		
MW581880	O	II-ECSA		
MW581877	O	II-ECSA		
MW581875	O	II-ECSA		
MW581885	O	II-ECSA		
MW581876	O	II-ECSA		
MW581870	O	II-ECSA		
MW581871	O	II-ECSA		
OK299098	O	II-ECSA		
MW759070	O	II-ECSA		
ON642355	O	II-ECSA		Indian Ocean Lineage
ON642354	O	II-ECSA		Indian Ocean Lineage
OQ750695	O	II-ECSA		
OQ750694	O	II-ECSA		
OQ750693	O	II-ECSA		
OQ750692	O	II-ECSA		
OQ750691	O	II-ECSA		
OQ750690	O	II-ECSA		
OQ750689	O	II-ECSA		
OQ750688	O	II-ECSA		
KX619424	O	II-ECSA		Indian Ocean Lineage
KX619425	O	II-ECSA		Indian Ocean Lineage
MK286895	O	II-ECSA		Indian Ocean Lineage
KX619423	O	II-ECSA		Indian Ocean Lineage
KX619422	O	II-ECSA		Indian Ocean Lineage
KX881784	O	II-ECSA		
JN558836	O	II-ECSA		Indian Ocean Lineage
JN558835	O	II-ECSA		Indian Ocean Lineage
JN558834	O	II-ECSA		Indian Ocean Lineage
EU564335	O	II-ECSA		Indian Ocean Lineage
GQ428210	O	II-ECSA		Indian Ocean Lineage
FJ000065	O	II-ECSA		Indian Ocean Lineage
FJ000062	O	II-ECSA		Indian Ocean Lineage
JF274082	O	II-ECSA		Indian Ocean Lineage
HM045794	O	II-ECSA		Indian Ocean Lineage
KJ941050	O	II-ECSA	ECSA, IOL	Indian Ocean Lineage
KY575568	O	II-ECSA	ECSA	Indian Ocean Lineage
FJ000068	O	II-ECSA		Indian Ocean Lineage
MK370030	O	II-ECSA		Indian Ocean Lineage
FJ445511	O	II-ECSA		Indian Ocean Lineage
FJ445510	O	II-ECSA		Indian Ocean Lineage
FJ807896	O	II-ECSA		Indian Ocean Lineage
FJ000064	O	II-ECSA		Indian Ocean Lineage
FJ000063	O	II-ECSA		Indian Ocean Lineage
GQ428211	O	II-ECSA		Indian Ocean Lineage
HM045799	O	II-ECSA		Indian Ocean Lineage
KY575567	O	II-ECSA	ECSA	Indian Ocean Lineage
EF210157	O	II-ECSA		Indian Ocean Lineage
PP349434	O	II-ECSA	ECSA	
KF283987	O	II-ECSA		
KF283986	O	II-ECSA		Eastern African Lineage
KP702297	O	II-ECSA		Eastern African Lineage
MK028836	O	II-ECSA		Eastern African Lineage
FJ959103	O	II-ECSA		Eastern African Lineage
FR717337	O	II-ECSA		Eastern African Lineage
FR717336	O	II-ECSA		Eastern African Lineage
LP981862	O	II-ECSA		
MH229986	O	II-ECSA		Eastern African Lineage
EU564334	O	II-ECSA		Eastern African Lineage
KP003809	O	II-ECSA	ECSA	Eastern African Lineage
KP003807	O	II-ECSA	ECSA	Eastern African Lineage
KP003808	O	II-ECSA	ECSA	Eastern African Lineage
KY575571	O	II-ECSA	ECSA	Eastern African Lineage
LP981867	O	II-ECSA		
MP174049	O	II-ECSA		
HM045812	O	II-ECSA		Middle African Lineage
HM045784	O	II-ECSA		Middle African Lineage
KY575574	O	II-ECSA	ECSA	Middle African Lineage
HM045823	O	II-ECSA		Middle African Lineage
PV089294	O	II-ECSA	ECSA	
OQ759749	O	II-ECSA	East-Central-South-African	
OQ759755	O	II-ECSA	East-Central-South-African	
OQ759751	O	II-ECSA	East-Central-South-African	
OQ759747	O	II-ECSA	East-Central-South-African	
OQ759750	O	II-ECSA	East-Central-South-African	
OQ759757	O	II-ECSA	East-Central-South-African	
OQ759754	O	II-ECSA	East-Central-South-African	
OQ759748	O	II-ECSA	East-Central-South-African	
OQ759745	O	II-ECSA	East-Central-South-African	
OQ759753	O	II-ECSA	East-Central-South-African	
OQ759752	O	II-ECSA	East-Central-South-African	
OQ759743	O	II-ECSA	East-Central-South-African	
OQ759746	O	II-ECSA	East-Central-South-African	
OQ759742	O	II-ECSA	East-Central-South-African	
KU940225	O	II-ECSA		South American Lineage
KP164570	O	II-ECSA		South American Lineage
KP164569	O	II-ECSA		South American Lineage
KP164568	O	II-ECSA		South American Lineage
OQ148632	O	II-ECSA	ECSA	
OQ148631	O	II-ECSA	ECSA	
OQ148630	O	II-ECSA	ECSA	
OQ148629	O	II-ECSA	ECSA	
MK121893	O	II-ECSA		
MK121891	O	II-ECSA		
ON009842	O	II-ECSA		
HM045822	O	II-ECSA		Middle African Lineage
KY038946	O	II-ECSA		Middle African Lineage
KY038947	O	II-ECSA		Middle African Lineage
KX262996	O	II-ECSA	East-Central-South-African	Middle African Lineage
KP003812	O	II-ECSA	ECSA	Middle African Lineage
KP003813	O	II-ECSA		Middle African Lineage
HM045809	O	II-ECSA		Sister Taxa to ECSA
HM045792	O	II-ECSA		African/Asian Lineages
HM045805	O	II-ECSA		African/Asian Lineages
HM045795	O	II-ECSA		
HM045811	O	II-ECSA		African/Asian Lineages
HM045806	O	II-ECSA		African/Asian Lineages
HM045821	O	II-ECSA		African/Asian Lineages
KX262990	O	II-ECSA	East-Central-South-African	African/Asian Lineages
ON009843	O	II-ECSA		Middle African Lineage
OR344786	O	II-ECSA		
KJ679577	O	II-ECSA	ECSA	African/Asian Lineages
MW581868	O	II-ECSA		
HM045820	O	I-WestAfrica		Western African Lineage
HM045819	O	I-WestAfrica		Western African Lineage
HM045818	O	I-WestAfrica		Western African Lineage
HM045807	O	I-WestAfrica		
HM045786	O	I-WestAfrica		Western African Lineage
HM045816	O	I-WestAfrica		Western African Lineage
HM045815	O	I-WestAfrica		Western African Lineage
HM045798	O	I-WestAfrica		
HM045785	O	I-WestAfrica		Western African Lineage
KX262995	O	I-WestAfrica	West African	Western African Lineage
KX262986	O	I-WestAfrica	West African	Western African Lineage
MK028837	O	I-WestAfrica		Western African Lineage
HM045817	O	I-WestAfrica		Western African Lineage
